id,name,address,ExtendedData,longitude,latitude
78,350 W 57 ST,"350 W 57 ST, New York, NY 10019, USA",1 rack,-73.985111,40.767569
79,352 W 58 ST,"352 W 58 ST, New York, NY 10019, USA",1 rack,-73.984476,40.768274
80,356 W 57 ST,"356 W 57 ST, New York, NY 10019, USA",1 rack,-73.985298,40.767652
81,357 W 55 ST,"357 W 55 ST, New York, NY 10019, USA",1 rack,-73.986109,40.766474
82,361 W 57 ST,"361 W 57 ST, New York, NY 10019, USA",2 racks,-73.985481,40.767838
83,362 W 53 ST,"362 W 53 ST, New York, NY 10019, USA",2 racks,-73.9872,40.764965
84,369 W 51 ST,"369 W 51 ST, New York, NY 10019, USA",1 rack,-73.98804,40.763952
85,370 W 51 ST,"370 W 51 ST, New York, NY 10019, USA",2 racks,-73.988194,40.763888
86,370 W 58 ST,"370 W 58 ST, New York, NY 10019, USA",2 racks,-73.985009,40.768447
87,382 W 50 ST,"382 W 50 ST, New York, NY 10019, USA",1 rack,-73.988746,40.763379
88,393 W 49 ST,"393 W 49 ST, New York, NY 10019, USA",1 rack,-73.98868,40.762756
89,4 COLUMBUS CI,"4 COLUMBUS CI, New York, NY 10019, USA",1 rack,,
90,40 W 55 ST,"40 W 55 ST, New York, NY 10019, USA",2 racks,-73.976762,40.762316
91,400 W 55 ST,"400 W 55 ST, New York, NY 10019, USA",1 rack,-73.986943,40.766606
92,400 W 59 ST,"400 W 59 ST, New York, NY 10019, USA",1 rack,-73.985691,40.769202
93,401 W 53 ST,"401 W 53 ST, New York, NY 10019, USA",1 rack,-73.988283,40.764973
94,403 W 51 ST,"403 W 51 ST, New York, NY 10019, USA",1 rack,-73.98881,40.764323
95,423 W 55 ST,"423 W 55 ST, New York, NY 10019, USA",1 rack,-73.987752,40.767187
96,426 W 49 ST,"426 W 49 ST, New York, NY 10019, USA",2 racks,-73.990633,40.763314
97,426 W 50 ST,"426 W 50 ST, New York, NY 10019, USA",1 rack,-73.990283,40.764031
